price,bedrooms,beds,cleaning_fee,guests_included,maximum_nights,minimum_nights,property_type,room_type,review_scores,street,country,country_code,availability_30,availability_60,availability_90,availability_365,latitude,longitude
40,1,1,0,1,1125,1,Apartment,Private room,0,"Barcelona, Catalunya, Spain",Spain,ES,0,0,0,0,41.40349,2.15759
325,2,4,350,6,1125,2,Condominium,Entire home/apt,82,"Honolulu, HI, United States",United States,US,10,29,52,295,21.27971,-157.82696
400,1,1,50,1,1125,1,Apartment,Private room,88,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,0,26,56,236,22.30612,114.17237
21,1,1,0,1,1125,14,Apartment,Private room,80,"Montréal, Québec, Canada",Canada,CA,0,0,0,0,45.49039,-73.58595
463,1,1,120,2,1125,1,Condominium,Entire home/apt,94,"香港, 九龍, Hong Kong",Hong Kong,HK,2,10,21,272,22.29643,114.17545
298,1,1,50,1,1125,1,Apartment,Private room,89,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,23,53,83,173,22.30515,114.17242
110,1,1,10,1,1125,1,Apartment,Entire home/apt,90,"New York, NY, United States",United States,US,28,53,82,357,40.79733,-73.93955
424,1,1,50,1,1125,2,Apartment,Private room,97,"九龍, 九龍, Hong Kong",Hong Kong,HK,6,27,57,57,22.30692,114.17106
84,2,2,69,2,1124,4,Apartment,Entire home/apt,95,"Barcelona, Catalunya, Spain",Spain,ES,14,26,52,258,41.3719,2.16622
633,2,2,211,1,1125,1,Townhouse,Entire home/apt,0,"İstanbul, İstanbul, Turkey",Turkey,TR,30,60,90,365,41.04095,29.00425
85,4,6,50,6,1125,1,Apartment,Entire home/apt,87,"Barcelona, Catalunya, Spain",Spain,ES,14,25,39,194,41.37249,2.15573
25,1,1,25,1,1125,1,Apartment,Private room,90,"Barcelona, Catalonia, Spain",Spain,ES,16,40,70,324,41.38701,2.17561
130,3,7,65,4,365,3,Apartment,Entire home/apt,95,"Barcelona, Catalunya, Spain",Spain,ES,12,15,23,127,41.37479,2.15566
359,1,2,0,1,1125,1,Bed and breakfast,Private room,0,"Fatih, İstanbul, Turkey",Turkey,TR,30,60,90,365,41.01001,28.977
209,3,4,169,2,1125,2,Villa,Entire home/apt,94,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,22,52,82,357,-22.92047898,-43.18992848
